global_mass,global_volume,global_width,global_length,global_surface_area,global_dead,global_division,cell_counts_AcrAB-TolC_RNA,cell_counts_AcrAB-TolC,cell_counts_porin,cell_counts_antibiotic,cell_AcrAB-TolC_RNA,cell_AcrAB-TolC,cell_porin,cell_antibiotic,environment_antibiotic,time
9036.344632567403,8.214858756879458,1.0,10.792816357006199,33.121234415316984,0.0,1.0,4947.0,4940462.0,4947103.0,995669.0,0.001,0.9986576147431434,1.0,0.20126307985750239,1.0,6611.0
9038.954808141989,8.217231643765444,1.0,10.79583761042462,33.13072596286093,0.0,1.0,4948.0,4941896.0,4948532.0,996017.0,0.001,0.9986589571284002,1.0,0.2012754108400301,1.0,6612.0
9041.565737673713,8.219605216067011,1.0,10.798859736541264,33.140220252067195,0.0,1.0,4949.0,4943330.0,4949961.0,996366.0,0.001,0.9986602981712719,1.0,0.20128773945347167,1.0,6613.0
9044.177421380356,8.221979473982142,1.0,10.801882735608208,33.14971728372772,0.0,1.0,4951.0,4944765.0,4951391.0,996715.0,0.001,0.9986616378731006,1.0,0.2013000656984014,1.0,6614.0
9046.789859479766,8.224354417708879,1.0,10.80490660787761,33.15921705863467,0.0,1.0,4952.0,4946199.0,4952821.0,997064.0,0.001,0.9986629762352275,1.0,0.20131238957539332,1.0,6615.0
9049.40305218985,8.226730047445317,1.0,10.807931353601692,33.16871957758042,0.0,1.0,4954.0,4947635.0,4954252.0,997413.0,0.001,0.9986643132589923,1.0,0.2013247110850213,1.0,6616.0
9052.01699972858,8.229106363389617,1.0,10.81095697303276,33.17822484135762,0.0,1.0,4955.0,4949071.0,4955683.0,997762.0,0.001,0.9986656489457333,1.0,0.20133703022785904,1.0,6617.0
9054.631702313989,8.23148336573999,1.0,10.813983466423183,33.18773285075911,0.0,1.0,4957.0,4950507.0,4957115.0,998111.0,0.001,0.9986669832967876,1.0,0.20134934700447996,1.0,6618.0
9057.247160164177,8.233861054694707,1.0,10.817010834025409,33.19724360657798,0.0,1.0,4958.0,4951943.0,4958547.0,998461.0,0.001,0.9986683163134908,1.0,0.20136166141545728,1.0,6619.0
9059.863373497305,8.236239430452095,1.0,10.820039076091954,33.20675710960753,0.0,1.0,4959.0,4953380.0,4959979.0,998810.0,0.001,0.9986696479971774,1.0,0.20137397346136407,1.0,6620.0
9062.480342531593,8.23861849321054,1.0,10.823068192875413,33.21627336064131,0.0,1.0,4961.0,4954818.0,4961412.0,999160.0,0.001,0.9986709783491802,1.0,0.20138628314277315,1.0,6621.0
9065.09806748533,8.240998243168482,1.0,10.826098184628448,33.22579236047308,0.0,1.0,4962.0,4956256.0,4962845.0,999510.0,0.001,0.998672307370831,1.0,0.20139859046025715,1.0,6622.0
9067.716548576867,8.243378680524424,1.0,10.829129051603797,33.23531410989684,0.0,1.0,4964.0,4957694.0,4964278.0,999859.0,0.001,0.9986736350634602,1.0,0.2014108954143885,1.0,6623.0
9070.335786024614,8.245759805476922,1.0,10.832160794054273,33.24483860970684,0.0,1.0,4965.0,4959132.0,4965712.0,1000209.0,0.001,0.9986749614283967,1.0,0.20142319800573938,1.0,6624.0
9072.955780047048,8.24814161822459,1.0,10.835193412232758,33.25436586069751,0.0,1.0,4967.0,4960571.0,4967146.0,1000559.0,0.001,0.9986762864669684,1.0,0.2014354982348818,1.0,6625.0
9075.576530862709,8.2505241189661,1.0,10.83822690639221,33.26389586366355,0.0,1.0,4968.0,4962011.0,4968581.0,1000909.0,0.001,0.9986776101805014,1.0,0.20144779610238756,1.0,6626.0
9078.198038690196,8.252907307900179,1.0,10.841261276785653,33.27342861939986,0.0,1.0,4970.0,4963451.0,4970016.0,1001260.0,0.001,0.9986789325703209,1.0,0.20146009160882827,1.0,6627.0
9080.820303748176,8.255291185225614,1.0,10.844296523666197,33.28296412870161,0.0,1.0,4971.0,4964891.0,4971452.0,1001610.0,0.001,0.9986802536377506,1.0,0.2014723847547753,1.0,6628.0
9083.443326255378,8.257675751141253,1.0,10.847332647287015,33.29250239236416,0.0,1.0,4972.0,4966332.0,4972888.0,1001960.0,0.001,0.9986815733841128,1.0,0.20148467554079982,1.0,6629.0
9086.067106430592,8.260061005845992,1.0,10.850369647901354,33.30204341118312,0.0,1.0,4974.0,4967773.0,4974325.0,1002311.0,0.001,0.9986828918107287,1.0,0.20149696396747283,1.0,6630.0
9088.691644492674,8.262446949538795,1.0,10.853407525762542,33.31158718595433,0.0,1.0,4975.0,4969214.0,4975761.0,1002662.0,0.001,0.998684208918918,1.0,0.20150925003536507,1.0,6631.0
9091.316940660541,8.264833582418674,1.0,10.85644628112397,33.32113371747385,0.0,1.0,4977.0,4970656.0,4977199.0,1003012.0,0.001,0.998685524709999,1.0,0.20152153374504714,1.0,6632.0
9093.942995153175,8.267220904684704,1.0,10.859485914239105,33.33068300653796,0.0,1.0,4978.0,4972099.0,4978636.0,1003363.0,0.001,0.998686839185289,1.0,0.20153381509708937,1.0,6633.0
9096.569808189619,8.269608916536017,1.0,10.862526425361493,33.34023505394321,0.0,1.0,4980.0,4973541.0,4980074.0,1003714.0,0.001,0.9986881523461038,1.0,0.20154609409206192,1.0,6634.0
9099.197379988982,8.271997618171802,1.0,10.865567814744749,33.349789860486354,0.0,1.0,4981.0,4974984.0,4981513.0,1004065.0,0.001,0.9986894641937577,1.0,0.20155837073053476,1.0,6635.0
9101.825710770434,8.274387009791303,1.0,10.868610082642556,33.35934742696436,0.0,1.0,4982.0,4976428.0,4982952.0,1004416.0,0.001,0.9986907747295639,1.0,0.20157064501307762,1.0,6636.0
9104.45480075321,8.276777091593827,1.0,10.87165322930868,33.36890775417445,0.0,1.0,4984.0,4977872.0,4984391.0,1004768.0,0.001,0.9986920839548343,1.0,0.20158291694026,1.0,6637.0
9107.084650156608,8.279167863778735,1.0,10.87469725499696,33.37847084291409,0.0,1.0,4985.0,4979316.0,4985831.0,1005119.0,0.001,0.9986933918708795,1.0,0.2015951865126513,1.0,6638.0
9109.715259199987,8.281559326545443,1.0,10.877742159961294,33.38803669398092,0.0,1.0,4987.0,4980761.0,4987271.0,1005471.0,0.001,0.9986946984790086,1.0,0.2016074537308206,1.0,6639.0
9112.346628102774,8.283951480093432,1.0,10.88078794445567,33.39760530817287,0.0,1.0,4988.0,4982206.0,4988712.0,1005822.0,0.001,0.9986960037805296,1.0,0.2016197185953368,1.0,6640.0
9114.978757084455,8.286344324622231,1.0,10.883834608734142,33.407176686288075,0.0,1.0,4990.0,4983652.0,4990153.0,1006174.0,0.001,0.998697307776749,1.0,0.2016319811067687,1.0,6641.0
9117.611646364581,8.288737860331437,1.0,10.88688215305084,33.4167508291249,0.0,1.0,4991.0,4985098.0,4991594.0,1006526.0,0.001,0.9986986104689722,1.0,0.20164424126568475,1.0,6642.0
9120.245296162768,8.291132087420698,1.0,10.889930577659962,33.42632773748194,0.0,1.0,4993.0,4986545.0,4993036.0,1006878.0,0.001,0.9986999118585033,1.0,0.2016564990726533,1.0,6643.0
9122.879706698692,8.29352700608972,1.0,10.892979882815785,33.43590741215803,0.0,1.0,4994.0,4987991.0,4994478.0,1007230.0,0.001,0.9987012119466447,1.0,0.20166875452824243,1.0,6644.0
9125.514878192096,8.295922616538268,1.0,10.896030068772658,33.445489853952225,0.0,1.0,4995.0,4989439.0,4995921.0,1007582.0,0.001,0.9987025107346981,1.0,0.20168100763302005,1.0,6645.0
9128.150810862784,8.298318918966167,1.0,10.899081135785003,33.45507506366382,0.0,1.0,4997.0,4990886.0,4997364.0,1007934.0,0.001,0.9987038082239633,1.0,0.20169325838755386,1.0,6646.0
9130.787504930624,8.300715913573294,1.0,10.902133084107314,33.464663042092326,0.0,1.0,4998.0,4992335.0,4998807.0,1008287.0,0.001,0.9987051044157393,1.0,0.2017055067924114,1.0,6647.0
